Bonmin 1.7 using Cbc 2.8 and Ipopt 3.11


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           451         OPT 782812.52       18 0.02962
NLP0014I           452         OPT 766569.81       19 0.029009
NLP0014I           453         OPT 782348.3       20 0.032661
NLP0014I           454         OPT 766569.81       19 0.029606
NLP0014I           455         OPT 778691.6       17 0.027944
NLP0014I           456         OPT 766569.81       19 0.032906
NLP0014I           457         OPT 782133.18       19 0.031685
NLP0014I           458         OPT 766569.81       19 0.029612
NLP0014I           459         OPT 780210.08       19 0.031072
NLP0014I           460         OPT 769632.46       19 0.030225
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           461         OPT 778987.73       19 0.030678
NLP0014I           462         OPT 769097.98       19 0.029887
NLP0014I           463         OPT 777305.47       20 0.031212
NLP0014I           464         OPT 769097.98       21 0.034944
NLP0014I           465         OPT 775845.66       23 0.038525
NLP0014I           466         OPT 770059.2       19 0.039627
NLP0014I           467         OPT 776128.17       19 0.03393
NLP0014I           468         OPT 769857.27       21 0.034518
NLP0014I           469         OPT 785464.06       21 0.035501
NLP0014I           470         OPT 767690.29       19 0.029902
NLP0014I           471         OPT 788453.5       18 0.028289
NLP0014I           472         OPT 767690.29       19 0.028987
NLP0014I           473         OPT 790606.11       17 0.027324
NLP0014I           474         OPT 767690.29       18 0.034178
NLP0014I           475         OPT 786875.37       20 0.038299
NLP0014I           476         OPT 767690.29       18 0.029205
NLP0014I           477         OPT 787259.25       19 0.032987
NLP0014I           478         OPT 767690.29       18 0.030092
NLP0014I           479         OPT 785128.35       18 0.028104
NLP0014I           480         OPT 767690.29       18 0.030905
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           481         OPT 783570.16       17 0.028815
NLP0014I           482         OPT 767690.29       18 0.031613
NLP0014I           483         OPT 781678.23       18 0.030338
